event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_simultaneous_passing_options,passing_option_at_pass_moment,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,130560,64,64,00:00.4,00:00.4,0,0,0.0,1,1,left_to_right,8,player_possession,,,18570,R. Yates,11,RDM,,,,,747,Nottingham,0.33,0.98,3,center,2,middle_third,False,0.33,0.98,3,center,2,middle_third,False,,,,,,3,drawing,0,0,0,1,True,False,True,True,2,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.0,,,,,,,,,7.19,7.19,0.0,19.57,19.57,19.24,19.24,0.0,32.93,32.93,0.0,False,False,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,10067,S. Cook,5,CB,-24.12,2.95,3,center,1,defensive_third,False,-24.63,3.23,3,center,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,26.2,2,medium,174.06,2,backward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,0,True,True,,True,False
8_1,1,130560,84,100,00:02.4,00:04.0,0,2,1.6,1,1,left_to_right,8,player_possession,,,10067,S. Cook,5,CB,,,,,747,Nottingham,-24.63,3.23,3,center,1,defensive_third,False,-23.5,3.73,3,center,1,defensive_third,False,,,,,,3,drawing,0,0,1,1,False,True,True,True,1,True,6,direct,15,defending_direct,10,high_block,0,build_up,1,create,9,medium_block,,,12,throw_in_against,False,False,1.76,23.87,1,forward,,,4.07,1,jogging,17.7,5.5,-12.2,19.43,21.52,44.06,45.02,0.96,33.07,30.98,-2.09,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,174.06,2,backward,26.2,2,medium,1,successful,7_2,True,18962,K. Davis,19,CF,11.55,23.7,1,wide_left,2,middle_third,False,26.43,28.1,1,wide_left,3,attacking_third,False,0.6067,True,0.0037,False,5,2,3,1,2,0,5,0,0,2,3,3,3,3,5,9,9,True,532,3,True,,,True,,,False,,,2,second_last,2,around,40.34,3,long,29.67,1,forward,29.15,2,medium,31.68,1,forward,True,10,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,True,False,False
7_0,2,130560,84,92,00:02.4,00:03.2,0,2,0.8,1,1,left_to_right,7,passing_option,,,16333,J. Worrall,6,RCB,10067,S. Cook,5,CB,747,Nottingham,-19.5,-11.53,4,half_space_right,1,defensive_third,False,-19.31,-13.31,4,half_space_right,1,defensive_third,False,8_1,84,,,,3,drawing,0,0,1,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,1.8,-83.91,4,sideway_right,False,False,8.03,1,jogging,13.99,13.87,-0.12,19.43,19.93,38.93,39.24,0.31,33.07,32.57,-0.5,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,532,3,False,,,False,,,False,,,,,,,15.63,2,medium,-70.83,4,sideway_right,,,,,,,True,10,10,0,3,ahead,3,ahead,15.63,17.37,-24.63,3.23,3,center,1,defensive_third,False,-24.84,3.16,3,center,1,defensive_third,False,False,False,,False,False,0.0002,0.9962,0.7595,True,84,True,,,,,,,3,False,,,,True,True,,,False
7_1,3,130560,89,92,00:02.9,00:03.2,0,2,0.3,1,1,left_to_right,7,passing_option,,,18937,D. Spence,7,RWB,10067,S. Cook,5,CB,747,Nottingham,-11.92,-31.82,5,wide_right,2,middle_third,False,-14.11,-31.59,5,wide_right,2,middle_third,False,8_1,84,,,,3,drawing,0,0,1,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,2.97,173.99,2,backward,False,False,,,,30.38,31.24,0.86,19.66,19.93,31.58,34.04,2.46,32.84,32.57,-0.27,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,532,3,False,,,False,,,False,,,,,,,37.98,3,long,-67.93,4,sideway_right,,,,,,,True,10,10,0,3,ahead,3,ahead,37.36,36.37,-24.84,3.23,3,center,1,defensive_third,False,-24.84,3.16,3,center,1,defensive_third,False,False,False,,False,False,0.0002,0.9993,0.7078,True,87,True,,,,,,,3,False,,,,True,True,,,False
7_2,4,130560,89,100,00:02.9,00:04.0,0,2,1.1,1,1,left_to_right,7,passing_option,,,18962,K. Davis,19,CF,10067,S. Cook,5,CB,747,Nottingham,7.07,23.83,1,wide_left,2,middle_third,False,11.55,23.7,1,wide_left,2,middle_third,False,8_1,84,1_1,8,run_ahead_of_the_ball,3,drawing,0,0,1,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,4.13,-1.66,1,forward,False,False,15.12,2,running,4.25,0.66,-3.59,19.66,21.52,12.59,9.97,-2.62,32.84,30.98,-1.86,False,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,532,3,True,2,around,True,2,around,False,,,2,second_last,2,around,40.34,3,long,29.67,1,forward,29.15,2,medium,31.68,1,forward,True,10,3,7,3,ahead,3,ahead,37.98,40.34,-24.84,3.23,3,center,1,defensive_third,False,-23.5,3.73,3,center,1,defensive_third,False,True,True,False,False,True,0.0037,0.6067,0.8928,True,100,True,,,,,,,4,True,,,,True,True,,False,False
7_3,5,130560,94,100,00:03.4,00:04.0,0,3,0.6,1,1,left_to_right,7,passing_option,,,4581,J. Colback,3,LWB,10067,S. Cook,5,CB,747,Nottingham,-0.4,29.27,1,wide_left,2,middle_third,False,2.61,28.74,1,wide_left,2,middle_third,False,8_1,84,1_0,8,run_ahead_of_the_ball,3,drawing,0,0,1,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,3.06,-9.99,1,forward,False,False,17.96,2,running,12.79,11.64,-1.15,20.18,21.52,20.58,18.91,-1.67,32.32,30.98,-1.34,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,532,3,True,2,around,True,2,around,False,,,2,second_last,2,around,36.16,3,long,43.77,1,forward,,,,,,,True,10,7,3,3,ahead,3,ahead,35.69,36.16,-24.72,3.15,3,center,1,defensive_third,False,-23.5,3.73,3,center,1,defensive_third,False,False,False,,False,True,0.0015,0.544,0.8434,True,100,False,,,,,,,4,True,,,,True,True,,,False
1_0,6,130560,95,110,00:03.5,00:05.0,0,3,1.5,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,4581,J. Colback,3,LWB,10067,S. Cook,5,CB,747,Nottingham,0.02,29.2,1,wide_left,2,middle_third,False,7.64,28.12,1,wide_left,2,middle_third,False,8_1,84,,,,3,drawing,0,0,1,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,7.19,-8.07,1,forward,False,False,18.39,2,running,12.61,9.69,-2.92,20.34,25.0,20.32,17.36,-2.96,32.16,27.5,-4.66,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ahead,3,ahead,35.83,37.22,-24.6,3.17,3,center,1,defensive_third,False,-21.51,4.98,3,center,1,defensive_third,False,False,False,,False,True,0.0015,0.544,0.8434,True,,False,1,False,,,,True,,,7,7,0,True,True,,,
1_1,7,130560,96,131,00:03.6,00:07.1,0,3,3.5,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,18962,K. Davis,19,CF,10067,S. Cook,5,CB,747,Nottingham,9.77,23.35,1,wide_left,2,middle_third,False,26.11,27.87,1,wide_left,3,attacking_third,False,8_1,84,,,,3,drawing,0,0,1,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,16.77,15.46,1,forward,False,False,17.59,2,running,3.8,0.66,-3.13,20.53,32.93,10.76,6.82,-3.94,31.97,19.57,-12.4,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ahead,3,ahead,39.69,44.31,-24.44,3.23,3,center,1,defensive_third,False,-13.6,8.21,3,center,2,middle_third,False,True,True,False,False,True,0.0037,0.6067,0.8928,True,,False,1,False,,,,True,,,3,6,3,True,True,,False,
7_4,8,130560,100,100,00:04.0,00:04.0,0,4,0.0,1,1,left_to_right,7,passing_option,,,36079,P. Zinckernagel,15,AM,10067,S. Cook,5,CB,747,Nottingham,7.05,17.43,2,half_space_left,2,middle_third,False,7.05,17.43,2,half_space_left,2,middle_third,False,8_1,84,,,,3,drawing,0,0,1,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,0.0,34.26,1,forward,False,False,10.11,1,jogging,6.26,6.26,0.0,21.52,21.52,14.47,14.47,0.0,30.98,30.98,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,532,3,True,2,around,False,,,False,,,1,first,2,around,33.48,3,long,24.15,1,forward,,,,,,,True,10,7,3,3,ahead,3,ahead,33.48,33.48,-23.5,3.73,3,center,1,defensive_third,False,-23.5,3.73,3,center,1,defensive_third,False,False,False,,False,True,0.0017,0.6155,0.7629,True,100,False,,,,,,,2,True,,,,True,True,,,False
8_2,9,130560,246,246,00:18.6,00:18.6,0,18,0.0,1,2,right_to_left,8,player_possession,,,17678,D. Sinani,20,RF,,,,,309,Huddersfield,-21.83,-30.69,5,wide_right,1,defensive_third,False,-21.83,-30.69,5,wide_right,1,defensive_third,False,,,,,,3,drawing,0,0,2,1,True,False,False,True,3,False,0,build_up,10,high_block,1,create,9,medium_block,15,defending_direct,6,direct,11,throw_in_for,,,False,False,0.0,160.1,2,backward,,,12.5,1,jogging,1.27,1.27,0.0,4.09,4.09,25.92,25.92,0.0,48.41,48.41,0.0,True,True,7,throw_in_reception,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,7_6,False,13929,Pipa,7,RWB,-29.2,-32.26,5,wide_right,1,defensive_third,False,-28.87,-31.16,5,wide_right,1,defensive_third,False,0.6136,True,0.0001,False,2,0,1,0,1,0,1,0,0,0,2,,,,,3,3,True,4231,3,False,,,False,,,False,,,,,,,7.54,1,short,-167.97,2,backward,6.75,1,short,-158.72,2,backward,False,7,8,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,True,True,,False,False
